time	action	location	from_location	rider_count	notes
15:45:00	stop	LaVergne High School			
15:57:24	stop	Davids Way	Mable Dr		
15:58:06	stop	631 Mable Dr			
15:58:06	stop	655 Mable Dr			
15:59:36	stop	310 Lake Forest Dr			
15:59:48	stop	323 Lake Forest Dr			
